rosbagTimestamp,data
1653303615316698631,1679.0
1653303615367360004,1679.0
1653303615416485213,1679.0
1653303615467405050,1679.0
1653303615516090833,1679.0
1653303615567236557,2031.0
1653303615616405964,2031.0
1653303615670955462,2031.0
1653303615716104956,2031.0
1653303615767769802,2031.0
1653303615816205703,2031.0
1653303615867239180,2031.0
1653303615916327393,2031.0
1653303615966223759,2031.0
1653303616017695912,2031.0
1653303616066123575,2031.0
1653303616116459224,2031.0
1653303616166145780,2031.0
1653303616218333930,2031.0
1653303616266821120,2031.0
1653303616316230609,2031.0
1653303616366626364,2031.0
1653303616416184530,2031.0
1653303616467310113,2031.0
1653303616516073428,2031.0
1653303616568810016,2031.0
1653303616616299321,2031.0
1653303616666405439,2031.0
1653303616716162071,2031.0
1653303616766069291,2031.0
1653303616816793488,2031.0
1653303616866113343,2031.0
1653303616916660988,2031.0
1653303616966480073,2031.0
1653303617016158825,2031.0
1653303617066217906,2031.0
1653303617116048362,2031.0
1653303617168101791,2031.0
1653303617216077556,2031.0
1653303617267345297,2031.0
1653303617318023103,2031.0
1653303617366709602,2031.0
1653303617416234855,2031.0
1653303617466068355,2031.0
1653303617517793137,2031.0
1653303617566086041,2031.0
1653303617616286698,2031.0
1653303617666248125,2031.0
1653303617716403508,2031.0
1653303617766211627,2031.0
1653303617817036212,2031.0
1653303617866787041,2031.0
1653303617916160647,2031.0
1653303617966672208,2031.0
1653303618017259540,2031.0
1653303618066707075,2031.0
1653303618117704020,2031.0
1653303618166797989,2031.0
1653303618218626878,2031.0
1653303618266125974,2031.0
1653303618316871554,2031.0
1653303618366025436,2031.0
1653303618416392879,2031.0
1653303618466096050,2031.0
1653303618516861915,2031.0
1653303618566462845,2031.0
1653303618616086208,2031.0
1653303618666265418,2031.0
1653303618716242225,2031.0
1653303618767190238,2031.0
1653303618816133618,2031.0
1653303618868452256,2031.0
1653303618916139679,2031.0
1653303618968026069,2031.0
1653303619017002509,2031.0
1653303619066335171,2031.0
1653303619116138534,2031.0
1653303619166039916,2031.0
1653303619216349937,2031.0
1653303619269255106,2031.0
1653303619318577828,2031.0
1653303619369675775,2031.0
