rosbagTimestamp,data
1653067102275473193,0.0
1653067103275433627,0.0
1653067104276133163,0.0
1653067105275562799,0.247361728075
1653067106277171006,0.83676896222
1653067107277327062,1.62318886613
1653067108276004861,2.07490212135
1653067109275803743,2.8528904813
1653067110276677498,3.4147097134
1653067111275808714,4.0809206464
1653067112275329965,4.74283100115
1653067113275448126,5.14182625895
1653067114276577127,5.71966171409
1653067115276182925,6.11167082768
1653067116275838234,6.70009191233
1653067117275965013,7.31820469226
1653067118275881825,7.94302790824
1653067119275426772,8.72392471286
1653067120275274556,9.61609316251
1653067121276290196,10.3373320098
1653067122276207866,10.7461402144
1653067123276028163,11.1141647996
1653067124275434182,11.5939394225
1653067125275942436,12.2213793589
1653067126277972827,12.6845307541
1653067127276974417,13.7599292242
1653067128275261594,14.2078215216
1653067129275340967,14.4040413279
1653067130276288694,15.1314806241
1653067131275235082,15.5745408156
1653067132275248026,15.8071719286
1653067133277797089,16.3618234895
1653067134276565102,16.6634117858
1653067135275245514,16.9110095002
1653067136275280367,17.8464362434
1653067137275475978,18.8031368915
1653067138275357281,19.4633597437
1653067139275338499,20.3082785913
1653067140275981532,21.0414870526
1653067141275520999,21.5874850099
1653067142275491247,22.3927608558
1653067143276221413,22.8082088787
1653067144276869811,23.0315915922
1653067145275806610,23.5942761996
1653067146275730737,24.437830313
1653067147275783704,25.2424502557
1653067148276366305,25.5905082467
1653067149276495120,26.1542127822
1653067150275580597,26.7406663051
1653067151276296342,27.1650283572
1653067152275614914,27.6462077105
1653067153275632367,27.7939139062
1653067154276552430,27.8188945729
1653067155276634170,27.8407763412
1653067156275766407,27.8421024334
1653067157276053696,27.8431898874
1653067158276856077,27.8435764917
1653067159276405863,27.8436162834
1653067160278739436,27.8436522959
1653067161276237584,27.843672284
1653067162275394237,27.8436743711
1653067163275945285,27.8436751563
1653067164275523093,27.843676173
1653067165276142028,27.8436765729
1653067166275876781,27.8436766427
1653067167276211267,27.8436766958
1653067168275785103,27.8436767238
1653067169276254793,27.8436767277
1653067170281035276,27.8436767318
1653067171275720832,27.8436767364
1653067172276187421,27.8436767381
1653067173275946533,27.8436767417
1653067174276753695,27.8436767449
1653067175275373330,27.8436767496
1653067176276504481,27.8436767525
1653067177276889619,27.8436767559
1653067178277761703,27.8436767586
1653067179276230168,27.8436767626
1653067180278420176,27.8436767649
1653067181276335577,27.8436767683
1653067182275673869,27.8436767718
1653067183276306036,27.8436767738
1653067184275475274,27.8436767757
1653067185275381651,27.8436767772
1653067186275563026,27.8436767802
1653067187275905907,27.8436767848
1653067188277335916,27.8436767866
1653067189276436691,27.8436767917
1653067190275984064,27.8436767945
1653067191275868555,27.8436767977
1653067192276552133,27.8436768001
1653067193275413883,27.8436768038
1653067194276087565,27.8436768048
1653067195276189892,27.8436768066
1653067196275588411,27.8436768098
1653067197277627442,27.8436768128
1653067198275542938,27.8436768164
1653067199275972289,27.8436768198
1653067200276124815,27.8436768217
1653067201276402438,27.8436768243
1653067202276305849,27.8436768277
1653067203276469342,27.843676831
1653067204275908767,27.843676835
1653067205277504133,27.8436768374
1653067206276206833,27.8436768432
1653067207275706286,27.8436768452
1653067208276629080,27.8436768481
1653067209275465162,27.8436768513
1653067210275673413,27.8436768565
1653067211275353074,27.8436768613
1653067212276809574,27.8436768622
1653067213277224167,27.8436768645
1653067214276027763,27.8436768675
